,Date,Token,Datestamp,Speaker
74993,15-May-07,example may know president working group financial markets pwg recently issued statement principles ten case relating regulation private pools capital including hedge funds,5/15/2007,Chairman Ben S. Bernanke
74994,15-May-07,fact united kingdom principles based risk focused approach regulation considerable influence side atlantic well,5/15/2007,Chairman Ben S. Bernanke
74995,15-May-07,rather said risk based means regulatory resources attention devoted firms markets instruments proportion perceived risks fsa regulatory objectives,5/15/2007,Chairman Ben S. Bernanke
74996,15-May-07,better alternative consistent principles based risk focused approach takes account benefits well risks accompany financial innovation,5/15/2007,Chairman Ben S. Bernanke
74997,15-May-07,speech february year sir callum mccarthy head united kingdom financial services authority fsa took issue interpretation sir callum confirmed fsa approach built framework principles although noted fsa also page rulebook accompany eleven principles laid,5/15/2007,Chairman Ben S. Bernanke
74998,15-May-07,observers characterized british approach principles based using light touch implication two features somehow go together,5/15/2007,Chairman Ben S. Bernanke
74999,15-May-07,commentators sought draw sharp distinction approach financial regulation united states united kingdom,5/15/2007,Chairman Ben S. Bernanke
75000,15-May-07,fsa head rejected view approach light touch,5/15/2007,Chairman Ben S. Bernanke
75001,15-May-07,aim presenting principles spell combination market discipline government oversight could effective addressing challenges public policy objectives described,5/15/2007,Chairman Ben S. Bernanke
75002,15-May-07,perception institutions big fail may create incentives excessive risk taking part institutions creditors,5/15/2007,Chairman Ben S. Bernanke
75003,15-May-07,particular emphasize risks financial stability best addressed focusing attention large institutions core financial system,5/15/2007,Chairman Ben S. Bernanke
75004,15-May-07,care needed applying risk focused approach regulation however,5/15/2007,Chairman Ben S. Bernanke
75005,15-May-07,particular government singles particular institutions markets especially critical stability system moral hazard concerns may well follow,5/15/2007,Chairman Ben S. Bernanke
75006,15-May-07,reason part effective risk focused approach promotion market discipline first line defense whenever possible,5/15/2007,Chairman Ben S. Bernanke
75007,15-May-07,market discipline enhanced whenever regulators take positive steps ensure investors managers bear consequences financial decisions,5/15/2007,Chairman Ben S. Bernanke
75008,15-May-07,reliance market discipline confused policy laissez faire benign neglect,5/15/2007,Chairman Ben S. Bernanke
75009,15-May-07,contrary pwg principles spell market discipline often needs buttressed government oversight,5/15/2007,Chairman Ben S. Bernanke
75010,15-May-07,notably supervisors must diligently ensure regulated firms especially core financial firms act creditors counterparties clearing firms highly leveraged entities including hedge funds adopt implement best practices monitoring managing risks,5/15/2007,Chairman Ben S. Bernanke
75011,15-May-07,best practices could include identified cooperative private sector initiatives counterparty risk policy management group ii,5/15/2007,Chairman Ben S. Bernanke
75012,15-May-07,noted powerful arguments ad hoc instrument specific institution specific regulation,5/15/2007,Chairman Ben S. Bernanke
75013,15-May-07,principles make clear regulators supervisors adopt risk focused approach described sir callum,5/15/2007,Chairman Ben S. Bernanke
75014,15-May-07,policymakers must confident ability detect market abuses occur,5/15/2007,Chairman Ben S. Bernanke
75015,15-May-07,leverage embedded new financial instruments trading strategies compounds difficulties risk management,5/15/2007,Chairman Ben S. Bernanke
75016,15-May-07,instruments trading strategies become complex intertwined even sophisticated investors challenged make reliable judgments risk exposures,5/15/2007,Chairman Ben S. Bernanke
75017,15-May-07,importantly best practices must address challenges mentioned earlier including relating complexity instruments strategies make exposures difficult measure illiquidity potential illiquidity positions held firm counterparties risks embedded well explicit leverage,5/15/2007,Chairman Ben S. Bernanke
75018,15-May-07,substantial market risk may associated holdings illiquid instruments tranches bespoke cdos illustrate well,5/15/2007,Chairman Ben S. Bernanke
75019,15-May-07,pattern crowded trades may lead market illiquidity sometimes surprising locations risk aversion heightens,5/15/2007,Chairman Ben S. Bernanke
75020,15-May-07,particular counterparty exposures significantly increased closeout positions one hedge funds dealer counterparties leads exacerbates market illiquidity,5/15/2007,Chairman Ben S. Bernanke
75021,15-May-07,market liquidity depends presence willing buyers sellers also underlying infrastructure including market making capacity system clearing settling financial transactions,5/15/2007,Chairman Ben S. Bernanke
75022,15-May-07,twenty years ago fall stock market crash significantly worsened inability trade processing systems keep order flows including orders resulting program trading,5/15/2007,Chairman Ben S. Bernanke
75023,15-May-07,course automated trading far pervasive today overall trading volumes expanded greatly,5/15/2007,Chairman Ben S. Bernanke
75024,15-May-07,trading volumes grow market infrastructures must adapt,5/15/2007,Chairman Ben S. Bernanke
75025,15-May-07,principles based risk focused approachhow best respond daunting challenges,5/15/2007,Chairman Ben S. Bernanke
