,Date,Speaker
0,1996-06-13,Chairman Alan Greenspan
1,1996-06-18,"Governor Edward W. Kelley, Jr."
2,1996-09-08,Governor Laurence H. Meyer
3,1996-09-19,Chairman Alan Greenspan
4,1996-10-02,Governor Lawrence B. Lindsey
5,1996-10-05,Chairman Alan Greenspan
6,1996-10-07,Chairman Alan Greenspan
7,1996-10-09,Governor Lawrence B. Lindsey
8,1996-10-11,Governor Lawrence B. Lindsey
9,1996-10-16,Chairman Alan Greenspan
10,1996-10-24,Governor Susan M. Phillips
11,1996-10-31,"Governor Edward W. Kelley, Jr."
12,1996-11-18,Chairman Alan Greenspan
13,1996-11-21,Governor Laurence H. Meyer
14,1996-11-25,Governor Susan M. Phillips
15,1996-12-03,"Governor Edward W. Kelley, Jr."
16,1996-12-05,Chairman Alan Greenspan
17,1996-12-06,Chairman Alan Greenspan
18,1996-12-19,Vice Chair Alice M. Rivlin
19,1997-01-05,Governor Laurence H. Meyer
20,1997-01-14,Chairman Alan Greenspan
21,1997-01-16,Governor Laurence H. Meyer
22,1997-01-24,Governor Laurence H. Meyer
23,1997-01-28,Governor Susan M. Phillips
24,1997-01-29,"Governor Edward W. Kelley, Jr."
25,1997-02-14,Governor Susan M. Phillips
26,1997-02-21,Chairman Alan Greenspan
27,1997-03-03,Governor Susan M. Phillips
28,1997-03-07,Chairman Alan Greenspan
29,1997-03-13,Vice Chair Alice M. Rivlin
30,1997-03-22,Chairman Alan Greenspan
31,1997-04-04,Vice Chair Alice M. Rivlin
32,1997-04-10,Governor Laurence H. Meyer
33,1997-04-12,Chairman Alan Greenspan
34,1997-04-24,Governor Laurence H. Meyer
35,1997-04-29,Chairman Alan Greenspan
36,1997-05-01,Chairman Alan Greenspan
37,1997-05-03,Chairman Alan Greenspan
38,1997-05-08,Chairman Alan Greenspan
39,1997-05-23,Governor Laurence H. Meyer
40,1997-06-10,Chairman Alan Greenspan
41,1997-06-18,Governor Susan M. Phillips
42,1997-09-04,Governor Laurence H. Meyer
43,1997-09-05,Chairman Alan Greenspan
44,1997-09-12,Chairman Alan Greenspan
45,1997-09-17,Governor Laurence H. Meyer
46,1997-09-19,Governor Susan M. Phillips
47,1997-09-23,"Governor Edward W. Kelley, Jr."
48,1997-10-05,Chairman Alan Greenspan
49,1997-10-11,Chairman Alan Greenspan
50,1997-10-14,Chairman Alan Greenspan
51,1997-10-15,Governor Susan M. Phillips
52,1997-10-30,Governor Susan M. Phillips
53,1997-10-31,Governor Laurence H. Meyer
54,1997-11-04,Governor Susan M. Phillips
55,1997-11-07,Chairman Alan Greenspan
56,1997-12-01,Governor Laurence H. Meyer
57,1997-12-02,Chairman Alan Greenspan
58,1997-12-03,Chairman Alan Greenspan
59,1997-12-15,"Governor Edward W. Kelley, Jr."
60,1998-01-03,Chairman Alan Greenspan
61,1998-01-08,Governor Laurence H. Meyer
62,1998-01-12,Chairman Alan Greenspan
63,1998-01-16,Chairman Alan Greenspan
64,1998-02-11,"Governor Edward W. Kelley, Jr."
65,1998-02-17,Vice Chair Alice M. Rivlin
66,1998-02-26,Chairman Alan Greenspan
67,1998-02-27,Chairman Alan Greenspan
68,1998-03-02,Governor Laurence H. Meyer
69,1998-03-03,Chairman Alan Greenspan
70,1998-03-04,"Governor Roger W. Ferguson, Jr."
71,1998-03-06,Governor Edward M. Gramlich
72,1998-03-09,"Governor Roger W. Ferguson, Jr."
73,1998-03-16,Governor Laurence H. Meyer
74,1998-03-17,Governor Susan M. Phillips
75,1998-03-19,"Governor Roger W. Ferguson, Jr."
76,1998-03-26,Governor Susan M. Phillips
77,1998-04-02,Chairman Alan Greenspan
78,1998-04-04,"Governor Roger W. Ferguson, Jr."
79,1998-04-09,Governor Laurence H. Meyer
80,1998-04-16,Governor Laurence H. Meyer
81,1998-04-23,Vice Chair Alice M. Rivlin
82,1998-04-30,Governor Laurence H. Meyer
83,1998-05-02,Chairman Alan Greenspan
84,1998-05-07,Chairman Alan Greenspan
85,1998-05-12,Governor Laurence H. Meyer
86,1998-05-20,Chairman Alan Greenspan
87,1998-06-03,Governor Laurence H. Meyer
88,1998-06-09,Governor Laurence H. Meyer
89,1998-06-18,Vice Chair Alice M. Rivlin
90,1998-07-09,"Governor Roger W. Ferguson, Jr."
91,1998-07-10,Chairman Alan Greenspan
92,1998-07-20,"Governor Roger W. Ferguson, Jr."
93,1998-08-28,Chairman Alan Greenspan
94,1998-09-04,Chairman Alan Greenspan
95,1998-09-15,Governor Edward M. Gramlich
96,1998-09-17,"Governor Roger W. Ferguson, Jr."
97,1998-09-18,Governor Laurence H. Meyer
98,1998-09-28,Vice Chair Alice M. Rivlin
99,1998-09-29,"Governor Roger W. Ferguson, Jr."
100,1998-10-05,Governor Laurence H. Meyer
101,1998-10-14,"Governor Roger W. Ferguson, Jr."
102,1998-10-16,"Governor Roger W. Ferguson, Jr."
103,1998-10-22,"Governor Roger W. Ferguson, Jr."
104,1998-10-27,"Governor Roger W. Ferguson, Jr."
105,1998-10-29,"Governor Edward W. Kelley, Jr."
106,1998-11-05,Chairman Alan Greenspan
107,1998-11-06,Governor Edward M. Gramlich
108,1998-11-12,Governor Laurence H. Meyer
109,1999-01-03,"Governor Roger W. Ferguson, Jr."
110,1999-01-04,Governor Laurence H. Meyer
111,1999-01-11,Governor Laurence H. Meyer
112,1999-01-15,"Governor Roger W. Ferguson, Jr."
113,1999-01-21,"Governor Roger W. Ferguson, Jr."
114,1999-02-11,"Governor Roger W. Ferguson, Jr."
115,1999-02-16,Chairman Alan Greenspan
116,1999-02-24,Vice Chair Alice M. Rivlin
117,1999-02-25,Governor Laurence H. Meyer
118,1999-03-01,Vice Chair Alice M. Rivlin
119,1999-03-03,"Governor Roger W. Ferguson, Jr."
120,1999-03-08,Governor Edward M. Gramlich
121,1999-03-09,Chairman Alan Greenspan
122,1999-03-10,"Governor Edward W. Kelley, Jr."
123,1999-03-12,Governor Laurence H. Meyer
124,1999-03-16,Chairman Alan Greenspan
125,1999-03-19,Chairman Alan Greenspan
126,1999-03-25,"Governor Edward W. Kelley, Jr."
127,1999-04-06,Vice Chair Alice M. Rivlin
128,1999-04-13,"Governor Roger W. Ferguson, Jr."
129,1999-04-14,Governor Laurence H. Meyer
130,1999-04-16,Chairman Alan Greenspan
131,1999-04-22,Governor Laurence H. Meyer
132,1999-04-26,Governor Laurence H. Meyer
133,1999-04-29,Chairman Alan Greenspan
134,1999-05-06,Chairman Alan Greenspan
135,1999-05-13,Vice Chair Alice M. Rivlin
136,1999-06-01,Vice Chair Alice M. Rivlin
137,1999-06-02,Chairman Alan Greenspan
138,1999-06-03,Governor Laurence H. Meyer
139,1999-06-10,"Governor Roger W. Ferguson, Jr."
140,1999-06-14,Governor Laurence H. Meyer
141,1999-06-16,Governor Edward M. Gramlich
142,1999-06-22,"Governor Roger W. Ferguson, Jr."
143,1999-07-29,"Governor Roger W. Ferguson, Jr."
144,1999-08-27,Chairman Alan Greenspan
145,1999-09-08,Chairman Alan Greenspan
